1,Robert,Aten,rjaten1993@gmail.com,1000,1,1993/07/25
2,Josh,Beck,RandomEmail@random.com,5,0,2011/10/01
3,Tony,Gregory,somerandom@random.com,5,0,2011/01/01
4,Joe,Bob,donthaveone@fake.com,5,0,1999/02/06
5,Bob,Joe,whysofake@email.com,5,0,1952/02/07
6,Your,Mom,lackofcreativity@wow.com,5,0,2008/02/08
7,My,Mom,wheremycreativity@nope.com,5,0,2015/03/09
8,Weird,Person,cantthink@whatbrain.com,5,0,1996/04/10
9,Normal,Person,okayalmostthere@email.com,5,0,2002/05/11
10,Random,Person,somanyemails@ugh.com,5,0,2007/06/12
11,Bob,Bobson,fourmore@almost.com,5,0,2015/07/13
12,Destiny,Rulez,nobrain@nope.com,5,0,1995/08/14
13,Xbox,Wow,bored@bored.com,5,0,2013/09/15
14,Sony,Best,straightup@straightup.com,5,0,2009/10/16
15,Super,Admin,superadmin@email.com,5,1,2010/11/17
